source,neighborhood,title,price,url,scraped_at
KPC,Kilimani,Two Bedroom Apartments,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/59979-two-bedroom-apartments,2026-02-20
KPC,Kilimani,3 Bedroom Unfurnished,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/60050-3-bedroom-unfurnished,2026-02-20
KPC,Kilimani,2 Bedroom Plus Dsq Apartments,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/60058-2-bedroom-plus-dsq-apartments,2026-02-20
KPC,Kilimani,One Bedroom Apartments,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/60061-one-bedroom-apartments,2026-02-20
KPC,Kilimani,2 Bedroom Apartments : One Bathroom,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/60063-2-bedroom-apartments-one-bathroom,2026-02-20
KPC,Kilimani,2 Bedroom Apartments Of 80 Sqm,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/60064-2-bedroom-apartments-of-80-sqm,2026-02-20
KPC,Kilimani,Three Bedroom Apartments,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/60065-three-bedroom-apartments,2026-02-20
KPC,Kilimani,Ilu Green Garden,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/60223-ilu-green-garden,2026-02-20
KPC,Kilimani,Luxurious 2 Bedroom,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/60382-luxurious-2-bedroom,2026-02-20
KPC,Kilimani,Hot New Project Consisting Of 1 Bedroom Apartments,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/60446-hot-new-project-consisting-of-1-bedroom-apartments,2026-02-20
KPC,Kilimani,A Landmark Residential Development Redefining Mode,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/60681-a-landmark-residential-development-redefining-mode,2026-02-20
KPC,Kilimani,Elegant Modern Apartment,KSh,https://kenyapropertycentre.com/for-sale/flats-apartments/nairobi/kilimani/60682-elegant-modern-apartment,2026-02-20
KPC,Kilimani,Magnificent 4 Bedrooms Townhouse All Ensuite Plus Dsq,KSh,https://kenyapropertycentre.com/for-sale/houses/nairobi/kilimani/60712-magnificent-4-bedrooms-townhouse-all-ensuite-plus-dsq,2026-02-20
